Id,Name,Authors,Citation,FirstAuthor,Journal,PublicationYear,CreateDate,PMCID,NIHMSID,DOI
30737144,Single-Cell Transcriptomics of Regulatory T Cells Reveals Trajectories of Tissue Adaptation,"Miragaia RJ, Gomes T, Chomka A, Jardine L, Riedel A, Hegazy AN, Whibley N, Tucci A, Chen X, Lindeman I, Emerton G, Krausgruber T, Shields J, Haniffa M, Powrie F, Teichmann SA.",Immunity. 2019 Feb 19;50(2):493-504.e7. doi: 10.1016/j.immuni.2019.01.001. Epub 2019 Feb 5.,Miragaia RJ,Immunity,2019,2019/02/10,PMC6382439,EMS81894,10.1016/j.immuni.2019.01.001
33296687,"Longitudinal Multi-omics Analyses Identify Responses of Megakaryocytes, Erythroid Cells, and Plasmablasts as Hallmarks of Severe COVID-19","Bernardes JP, Mishra N, Tran F, Bahmer T, Best L, Blase JI, Bordoni D, Franzenburg J, Geisen U, Josephs-Spaulding J, Köhler P, Künstner A, Rosati E, Aschenbrenner AC, Bacher P, Baran N, Boysen T, Brandt B, Bruse N, Dörr J, Dräger A, Elke G, Ellinghaus D, Fischer J, Forster M, Franke A, Franzenburg S, Frey N, Friedrichs A, Fuß J, Glück A, Hamm J, Hinrichsen F, Hoeppner MP, Imm S, Junker R, Kaiser S, Kan YH, Knoll R, Lange C, Laue G, Lier C, Lindner M, Marinos G, Markewitz R, Nattermann J, Noth R, Pickkers P, Rabe KF, Renz A, Röcken C, Rupp J, Schaffarzyk A, Scheffold A, Schulte-Schrepping J, Schunk D, Skowasch D, Ulas T, Wandinger KP, Wittig M, Zimmermann J, Busch H, Hoyer BF, Kaleta C, Heyckendorf J, Kox M, Rybniker J, Schreiber S, Schultze JL, Rosenstiel P; HCA Lung Biological Network; Deutsche COVID-19 Omics Initiative (DeCOI).",Immunity. 2020 Dec 15;53(6):1296-1314.e9. doi: 10.1016/j.immuni.2020.11.017. Epub 2020 Nov 26.,Bernardes JP,Immunity,2020,2020/12/09,PMC7689306,,10.1016/j.immuni.2020.11.017
32327758,SARS-CoV-2 entry factors are highly expressed in nasal epithelial cells together with innate immune genes,"Sungnak W, Huang N, Bécavin C, Berg M, Queen R, Litvinukova M, Talavera-López C, Maatz H, Reichart D, Sampaziotis F, Worlock KB, Yoshida M, Barnes JL; HCA Lung Biological Network.",Nat Med. 2020 May;26(5):681-687. doi: 10.1038/s41591-020-0868-6. Epub 2020 Apr 23.,Sungnak W,Nat Med,2020,2020/04/25,,,10.1038/s41591-020-0868-6
31604275,Spatiotemporal immune zonation of the human kidney,"Stewart BJ, Ferdinand JR, Young MD, Mitchell TJ, Loudon KW, Riding AM, Richoz N, Frazer GL, Staniforth JUL, Vieira Braga FA, Botting RA, Popescu DM, Vento-Tormo R, Stephenson E, Cagan A, Farndon SJ, Polanski K, Efremova M, Green K, Del Castillo Velasco-Herrera M, Guzzo C, Collord G, Mamanova L, Aho T, Armitage JN, Riddick ACP, Mushtaq I, Farrell S, Rampling D, Nicholson J, Filby A, Burge J, Lisgo S, Lindsay S, Bajenoff M, Warren AY, Stewart GD, Sebire N, Coleman N, Haniffa M, Teichmann SA, Behjati S, Clatworthy MR.",Science. 2019 Sep 27;365(6460):1461-1466. doi: 10.1126/science.aat5031.,Stewart BJ,Science,2019,2019/10/12,PMC7343525,EMS86701,10.1126/science.aat5031
32433953,Single-Cell RNA Sequencing Reveals a Dynamic Stromal Niche That Supports Tumor Growth,"Davidson S, Efremova M, Riedel A, Mahata B, Pramanik J, Huuhtanen J, Kar G, Vento-Tormo R, Hagai T, Chen X, Haniffa MA, Shields JD, Teichmann SA.",Cell Rep. 2020 May 19;31(7):107628. doi: 10.1016/j.celrep.2020.107628.,Davidson S,Cell Rep,2020,2020/05/21,PMC7242909,EMS86335,10.1016/j.celrep.2020.107628
32453711,Donor monocyte-derived macrophages promote human acute graft-versus-host disease,"Jardine L, Cytlak U, Gunawan M, Reynolds G, Green K, Wang XN, Pagan S, Paramitha M, Lamb CA, Long AK, Hurst E, Nair S, Jackson GH, Publicover A, Bigley V, Haniffa M, Simpson AJ, Collin M.",J Clin Invest. 2020 Sep 1;130(9):4574-4586. doi: 10.1172/JCI133909.,Jardine L,J Clin Invest,2020,2020/05/27,PMC7456218,,10.1172/JCI133909
32795091,Myocyte-Specific Upregulation of ACE2 in Cardiovascular Disease: Implications for SARS-CoV-2-Mediated Myocarditis,"Tucker NR, Chaffin M, Bedi KC Jr, Papangeli I, Akkad AD, Arduini A, Hayat S, Eraslan G, Muus C, Bhattacharyya RP, Stegmann CM; Human Cell Atlas Lung Biological Network, Margulies KB, Ellinor PT; Human Cell Atlas Lung Biological Network Consortium Members.",Circulation. 2020 Aug 18;142(7):708-710. doi: 10.1161/CIRCULATIONAHA.120.047911. Epub 2020 Jun 22.,Tucker NR,Circulation,2020,2020/08/16,PMC7424896,,10.1161/CIRCULATIONAHA.120.047911
28473638,Mapping the human DC lineage through the integration of high-dimensional techniques,"See P, Dutertre CA, Chen J, Günther P, McGovern N, Irac SE, Gunawan M, Beyer M, Händler K, Duan K, Sumatoh HRB, Ruffin N, Jouve M, Gea-Mallorquí E, Hennekam RCM, Lim T, Yip CC, Wen M, Malleret B, Low I, Shadan NB, Fen CFS, Tay A, Lum J, Zolezzi F, Larbi A, Poidinger M, Chan JKY, Chen Q, Rénia L, Haniffa M, Benaroch P, Schlitzer A, Schultze JL, Newell EW, Ginhoux F.",Science. 2017 Jun 9;356(6342):eaag3009. doi: 10.1126/science.aag3009. Epub 2017 May 4.,See P,Science,2017,2017/05/06,PMC7611082,EMS127083,10.1126/science.aag3009
28614294,Human fetal dendritic cells promote prenatal T-cell immune suppression through arginase-2,"McGovern N, Shin A, Low G, Low D, Duan K, Yao LJ, Msallam R, Low I, Shadan NB, Sumatoh HR, Soon E, Lum J, Mok E, Hubert S, See P, Kunxiang EH, Lee YH, Janela B, Choolani M, Mattar CNZ, Fan Y, Lim TKH, Chan DKH, Tan KK, Tam JKC, Schuster C, Elbe-Bürger A, Wang XN, Bigley V, Collin M, Haniffa M, Schlitzer A, Poidinger M, Albani S, Larbi A, Newell EW, Chan JKY, Ginhoux F.",Nature. 2017 Jun 29;546(7660):662-666. doi: 10.1038/nature22795. Epub 2017 Jun 14.,McGovern N,Nature,2017,2017/06/15,PMC6588541,EMS83403,10.1038/nature22795
32173857,The developing immune network in human prenatal skin,"Botting RA, Haniffa M.",Immunology. 2020 Jun;160(2):149-156. doi: 10.1111/imm.13192. Epub 2020 Apr 14.,Botting RA,Immunology,2020,2020/03/17,PMC7218404,,10.1111/imm.13192
23621371,Human dendritic cell subsets,"Collin M, McGovern N, Haniffa M.",Immunology. 2013 Sep;140(1):22-30. doi: 10.1111/imm.12117.,Collin M,Immunology,2013,2013/04/30,PMC3809702,,10.1111/imm.12117
27142012,Isolation of Human Skin Dendritic Cell Subsets,"Gunawan M, Jardine L, Haniffa M.",Methods Mol Biol. 2016;1423:119-28. doi: 10.1007/978-1-4939-3606-9_8.,Gunawan M,Methods Mol Biol,2016,2016/05/05,,,10.1007/978-1-4939-3606-9_8
33106805,Chronic lung diseases are associated with gene expression programs favoring SARS-CoV-2 entry and severity,"Bui LT, Winters NI, Chung MI, Joseph C, Gutierrez AJ, Habermann AC, Adams TS, Schupp JC, Poli S, Peter LM, Taylor CJ, Blackburn JB, Richmond BW, Nicholson AG, Rassl D, Wallace WA, Rosas IO, Jenkins RG, Kaminski N, Kropski JA, Banovich NE; Human Cell Atlas Lung Biological Network.",bioRxiv. 2021 Jan 4:2020.10.20.347187. doi: 10.1101/2020.10.20.347187. Preprint.,Bui LT,bioRxiv,2021,2020/10/27,PMC7587778,,10.1101/2020.10.20.347187
25986054,Human mononuclear phagocyte system reunited,"Haniffa M, Bigley V, Collin M.",Semin Cell Dev Biol. 2015 May;41:59-69. doi: 10.1016/j.semcdb.2015.05.004. Epub 2015 May 15.,Haniffa M,Semin Cell Dev Biol,2015,2015/05/20,,,10.1016/j.semcdb.2015.05.004
32380279,"Reconstructing human DC, monocyte and macrophage development in utero using single cell technologies","Jardine L, Haniffa M.",Mol Immunol. 2020 Jul;123:1-6. doi: 10.1016/j.molimm.2020.04.023. Epub 2020 May 4.,Jardine L,Mol Immunol,2020,2020/05/08,,,10.1016/j.molimm.2020.04.023
31845972,Re-evaluation of human BDCA-2+ DC during acute sterile skin inflammation,"Chen YL, Gomes T, Hardman CS, Vieira Braga FA, Gutowska-Owsiak D, Salimi M, Gray N, Duncan DA, Reynolds G, Johnson D, Salio M, Cerundolo V, Barlow JL, McKenzie ANJ, Teichmann SA, Haniffa M, Ogg G.",J Exp Med. 2020 Mar 2;217(3):jem.20190811. doi: 10.1084/jem.20190811.,Chen YL,J Exp Med,2020,2019/12/18,PMC7062525,,10.1084/jem.20190811
32047323,Muzlifah Haniffa-a new era for collaborative and supportive medical research,Haniffa M.,Nat Med. 2020 Feb;26(2):155. doi: 10.1038/s41591-020-0767-x.,Haniffa M,Nat Med,2020,2020/02/13,,,10.1038/s41591-020-0767-x
25301671,Human skin dendritic cells in health and disease,"Haniffa M, Gunawan M, Jardine L.",J Dermatol Sci. 2015 Feb;77(2):85-92. doi: 10.1016/j.jdermsci.2014.08.012. Epub 2014 Sep 10.,Haniffa M,J Dermatol Sci,2015,2014/10/11,PMC4728191,,10.1016/j.jdermsci.2014.08.012
21852794,Human dendritic cell deficiency: the missing ID?,"Collin M, Bigley V, Haniffa M, Hambleton S.",Nat Rev Immunol. 2011 Aug 19;11(9):575-83. doi: 10.1038/nri3046.,Collin M,Nat Rev Immunol,2011,2011/08/20,,,10.1038/nri3046
31157439,Are regulatory T cells associated with cutaneous viral infections?,"Poyner EFM, Dubois A, Haniffa M.",Br J Dermatol. 2019 Jun;180(6):1294. doi: 10.1111/bjd.17730.,Poyner EFM,Br J Dermatol,2019,2019/06/04,,,10.1111/bjd.17730
29439135,Mapping human development at single-cell resolution,"Behjati S, Lindsay S, Teichmann SA, Haniffa M.",Development. 2018 Feb 8;145(3):dev152561. doi: 10.1242/dev.152561.,Behjati S,Development,2018,2018/02/14,,,10.1242/dev.152561
29547972,The impact of single-cell RNA sequencing on understanding the functional organization of the immune system,"Vegh P, Haniffa M.",Brief Funct Genomics. 2018 Jul 1;17(4):265-272. doi: 10.1093/bfgp/ely003.,Vegh P,Brief Funct Genomics,2018,2018/03/17,PMC6063276,,10.1093/bfgp/ely003
24070379,Ontogeny and functional specialization of dendritic cells in human and mouse,"Haniffa M, Collin M, Ginhoux F.",Adv Immunol. 2013;120:1-49. doi: 10.1016/B978-0-12-417028-5.00001-6.,Haniffa M,Adv Immunol,2013,2013/09/28,,,10.1016/B978-0-12-417028-5.00001-6
30674730,Macrophage proliferation distinguishes 2 subgroups of knee osteoarthritis patients,"Wood MJ, Leckenby A, Reynolds G, Spiering R, Pratt AG, Rankin KS, Isaacs JD, Haniffa MA, Milling S, Hilkens CM.",JCI Insight. 2019 Jan 24;4(2):e125325. doi: 10.1172/jci.insight.125325. Online ahead of print.,Wood MJ,JCI Insight,2019,2019/01/25,PMC6413777,,10.1172/jci.insight.125325
33099652,Multiplexed gene expression analysis of HLA class II-associated podoconiosis implicates chronic immune activation in its pathogenesis,"Alcantara DR, Jones CI, Altmann DM, Boyton RJ, Haniffa M, Newport MJ.",Trans R Soc Trop Med Hyg. 2020 Dec 16;114(12):926-936. doi: 10.1093/trstmh/traa107.,Alcantara DR,Trans R Soc Trop Med Hyg,2020,2020/10/25,PMC7738654,,10.1093/trstmh/traa107
31227717,Identification of HIV transmitting CD11c(+) human epidermal dendritic cells,"Bertram KM, Botting RA, Baharlou H, Rhodes JW, Rana H, Graham JD, Patrick E, Fletcher J, Plasto TM, Truong NR, Royle C, Doyle CM, Tong O, Nasr N, Barnouti L, Kohout MP, Brooks AJ, Wines MP, Haertsch P, Lim J, Gosselink MP, Ctercteko G, Estes JD, Churchill MJ, Cameron PU, Hunter E, Haniffa MA, Cunningham AL, Harman AN.",Nat Commun. 2019 Jun 21;10(1):2759. doi: 10.1038/s41467-019-10697-w.,Bertram KM,Nat Commun,2019,2019/06/23,PMC6588576,,10.1038/s41467-019-10697-w
26124761,Human and Mouse Mononuclear Phagocyte Networks: A Tale of Two Species?,"Reynolds G, Haniffa M.",Front Immunol. 2015 Jun 25;6:330. doi: 10.3389/fimmu.2015.00330. eCollection 2015.,Reynolds G,Front Immunol,2015,2015/07/01,PMC4479794,,10.3389/fimmu.2015.00330
19109217,Mesenchymal stem cells: the fibroblasts' new clothes?,"Haniffa MA, Collin MP, Buckley CD, Dazzi F.",Haematologica. 2009 Feb;94(2):258-63. doi: 10.3324/haematol.13699. Epub 2008 Dec 23.,Haniffa MA,Haematologica,2009,2008/12/26,PMC2635401,,10.3324/haematol.13699
32713511,Defining the Skin Cellular Community Using Single-Cell Genomics to Advance Precision Medicine,"Dubois A, Gopee N, Olabi B, Haniffa M.",J Invest Dermatol. 2021 Feb;141(2):255-264. doi: 10.1016/j.jid.2020.05.104. Epub 2020 Jul 23.,Dubois A,J Invest Dermatol,2021,2020/07/28,,,10.1016/j.jid.2020.05.104
28762386,Genetics: Taking single-cell transcriptomics to the bedside,"Behjati S, Haniffa M.",Nat Rev Clin Oncol. 2017 Oct;14(10):590-592. doi: 10.1038/nrclinonc.2017.117. Epub 2017 Aug 1.,Behjati S,Nat Rev Clin Oncol,2017,2017/08/02,,,10.1038/nrclinonc.2017.117
31040289,Lipopolysaccharide inhalation recruits monocytes and dendritic cell subsets to the alveolar airspace,"Jardine L, Wiscombe S, Reynolds G, McDonald D, Fuller A, Green K, Filby A, Forrest I, Ruchaud-Sparagano MH, Scott J, Collin M, Haniffa M, Simpson AJ.",Nat Commun. 2019 Apr 30;10(1):1999. doi: 10.1038/s41467-019-09913-4.,Jardine L,Nat Commun,2019,2019/05/02,PMC6491485,,10.1038/s41467-019-09913-4
32948806,Study of diesel engine characteristics by adding nanosized zinc oxide and diethyl ether additives in Mahua biodiesel-diesel fuel blend,"Soudagar MEM, Banapurmath NR, Afzal A, Hossain N, Abbas MM, Haniffa MACM, Naik B, Ahmed W, Nizamuddin S, Mubarak NM.",Sci Rep. 2020 Sep 18;10(1):15326. doi: 10.1038/s41598-020-72150-z.,Soudagar MEM,Sci Rep,2020,2020/09/19,PMC7501273,,10.1038/s41598-020-72150-z
28244088,Mechanisms of immune evasion in extramammary Paget disease,"Fletcher J, Haniffa M.",Br J Dermatol. 2017 Feb;176(2):293-294. doi: 10.1111/bjd.15253.,Fletcher J,Br J Dermatol,2017,2017/03/01,,,10.1111/bjd.15253
28843277,Population of Monocyte-Derived Macrophages,"McGovern N, Schlitzer A, Gunawan M, Jardine L, Shin A, Poyner E, Green K, Dickinson R, Wang XN, Low D, Best K, Covins S, Milne P, Pagan S, Aljefri K, Windebank M, Miranda-Saavedra D, Larbi A, Wasan PS, Kaibo D, Poidinger M, Bigley V, Ginhoux F, Collin M, Haniffa M.",Immunity. 2015 Feb 17;42(2):391. doi: 10.1016/j.immuni.2015.01.018. Epub 2015 Feb 17.,McGovern N,Immunity,2015,2017/08/28,PMC5628173,,10.1016/j.immuni.2015.01.018
33569778,Multiomics uncovers developing immunological lineages in human,"Stephenson E, Webb S, Haniffa M.",Eur J Immunol. 2021 Apr;51(4):764-772. doi: 10.1002/eji.202048769. Epub 2021 Mar 10.,Stephenson E,Eur J Immunol,2021,2021/02/11,,,10.1002/eji.202048769
34497388,A roadmap for the Human Developmental Cell Atlas,"Haniffa M, Taylor D, Linnarsson S, Aronow BJ, Bader GD, Barker RA, Camara PG, Camp JG, Chédotal A, Copp A, Etchevers HC, Giacobini P, Göttgens B, Guo G, Hupalowska A, James KR, Kirby E, Kriegstein A, Lundeberg J, Marioni JC, Meyer KB, Niakan KK, Nilsson M, Olabi B, Pe'er D, Regev A, Rood J, Rozenblatt-Rosen O, Satija R, Teichmann SA, Treutlein B, Vento-Tormo R, Webb S; Human Cell Atlas Developmental Biological Network.",Nature. 2021 Sep;597(7875):196-205. doi: 10.1038/s41586-021-03620-1. Epub 2021 Sep 8.,Haniffa M,Nature,2021,2021/09/09,,,10.1038/s41586-021-03620-1
27195111,A multi-laboratory comparison of blood dendritic cell populations,"Fromm PD, Kupresanin F, Brooks AE, Dunbar PR, Haniffa M, Hart DN, Clark GJ.",Clin Transl Immunology. 2016 Apr 8;5(4):e68. doi: 10.1038/cti.2016.5. eCollection 2016 Apr.,Fromm PD,Clin Transl Immunology,2016,2016/05/20,PMC4855271,,10.1038/cti.2016.5
33898444,Prenatal Development and Function of Human Mononuclear Phagocytes,"Miah M, Goh I, Haniffa M.",Front Cell Dev Biol. 2021 Apr 8;9:649937. doi: 10.3389/fcell.2021.649937. eCollection 2021.,Miah M,Front Cell Dev Biol,2021,2021/04/26,PMC8060508,,10.3389/fcell.2021.649937
16843120,Cutaneous extramedullary hemopoiesis in chronic myeloproliferative and myelodysplastic disorders,"Haniffa MA, Wilkins BS, Blasdale C, Simpson NB.",J Am Acad Dermatol. 2006 Aug;55(2 Suppl):S28-31. doi: 10.1016/j.jaad.2005.11.1038.,Haniffa MA,J Am Acad Dermatol,2006,2006/07/18,,,10.1016/j.jaad.2005.11.1038
21833835,Insight into the immunobiology of human skin and functional specialization of skin dendritic cell subsets to innovate intradermal vaccination design,"Teunissen MB, Haniffa M, Collin MP.",Curr Top Microbiol Immunol. 2012;351:25-76. doi: 10.1007/82_2011_169.,Teunissen MB,Curr Top Microbiol Immunol,2012,2011/08/12,,,10.1007/82_2011_169
15495057,Interventions to improve compliance with continuous positive airway pressure for obstructive sleep apnoea,"Haniffa M, Lasserson TJ, Smith I.",Cochrane Database Syst Rev. 2004 Oct 18;(4):CD003531. doi: 10.1002/14651858.CD003531.pub2.,Haniffa M,Cochrane Database Syst Rev,2004,2004/10/21,,,10.1002/14651858.CD003531.pub2
27913155,Early Molecular Stratification of High-risk Primary Biliary Cholangitis,"Hardie C, Green K, Jopson L, Millar B, Innes B, Pagan S, Tiniakos D, Dyson J, Haniffa M, Bigley V, Jones DE, Brain J, Walker LJ.",EBioMedicine. 2016 Dec;14:65-73. doi: 10.1016/j.ebiom.2016.11.021. Epub 2016 Nov 21.,Hardie C,EBioMedicine,2016,2016/12/04,PMC5161439,,10.1016/j.ebiom.2016.11.021
33131168,Efficient detection of copy-number variations using exome data: Batch- and sex-based analyses,"Uchiyama Y, Yamaguchi D, Iwama K, Miyatake S, Hamanaka K, Tsuchida N, Aoi H, Azuma Y, Itai T, Saida K, Fukuda H, Sekiguchi F, Sakaguchi T, Lei M, Ohori S, Sakamoto M, Kato M, Koike T, Takahashi Y, Tanda K, Hyodo Y, Honjo RS, Bertola DR, Kim CA, Goto M, Okazaki T, Yamada H, Maegaki Y, Osaka H, Ngu LH, Siew CG, Teik KW, Akasaka M, Doi H, Tanaka F, Goto T, Guo L, Ikegawa S, Haginoya K, Haniffa M, Hiraishi N, Hiraki Y, Ikemoto S, Daida A, Hamano SI, Miura M, Ishiyama A, Kawano O, Kondo A, Matsumoto H, Okamoto N, Okanishi T, Oyoshi Y, Takeshita E, Suzuki T, Ogawa Y, Handa H, Miyazono Y, Koshimizu E, Fujita A, Takata A, Miyake N, Mizuguchi T, Matsumoto N.",Hum Mutat. 2021 Jan;42(1):50-65. doi: 10.1002/humu.24129. Epub 2020 Nov 11.,Uchiyama Y,Hum Mutat,2021,2020/11/01,,,10.1002/humu.24129
25352125,CD1c+ blood dendritic cells have Langerhans cell potential,"Milne P, Bigley V, Gunawan M, Haniffa M, Collin M.",Blood. 2015 Jan 15;125(3):470-3. doi: 10.1182/blood-2014-08-593582. Epub 2014 Oct 28.,Milne P,Blood,2015,2014/10/30,PMC4358967,,10.1182/blood-2014-08-593582
